tag_id,tag_category,tag_key,tag_label,description
tag-data-format-analytical-product,data_format,analytical_product,Analytical product,Derived analytical product format.
tag-data-format-argo-standard,data_format,argo_standard,Argo / profile standard,"Argo profiles, quality-controlled profile standards, or cruise/profile data conventions."
tag-data-format-barcode-data-model,data_format,barcode_data_model,Barcode data model,Barcode-specific data model or standard.
tag-data-format-bufr,data_format,bufr,BUFR,WMO binary universal form for meteorological/oceanographic data representation.
tag-data-format-community-standard,data_format,community_standard,Community-specific standard,"Theme-specific, NOAA/community, or other repository-specific standards."
tag-data-format-controlled-vocabulary,data_format,controlled_vocabulary,Controlled vocabulary,"Domain vocabularies, code lists, or managed terms."
tag-data-format-csv-tabular,data_format,csv_tabular,CSV / tabular,Delimited text or table-oriented exchange files.
tag-data-format-darwin-core,data_format,darwin_core,Darwin Core,"Biodiversity occurrence/event data standard used by OBIS, GBIF, EMODnet Biology, BISMaL, GEOME, and related systems."
tag-data-format-darwin-core-archive,data_format,darwin_core_archive,Darwin Core Archive,"Packaged Darwin Core data archive, typically CSV tables plus meta.xml and EML metadata."
tag-data-format-doi-package,data_format,doi_package,DOI package,"DOI-centered dataset, publication, or artifact package."
tag-data-format-eml,data_format,eml,Ecological Metadata Language,Dataset metadata XML used in Darwin Core Archive/IPT publication workflows.
tag-data-format-emof,data_format,emof,Extended MeasurementOrFact,Darwin Core extension for measurements and facts such as environmental or trait values.
tag-data-format-fasta,data_format,fasta,FASTA,FASTA sequence flat file format.
tag-data-format-genbank-flat-file,data_format,genbank_flat_file,GenBank flat file,NCBI GenBank flat-file sequence format.
tag-data-format-ices-exchange-format,data_format,ices_exchange_format,ICES exchange format,"ICES data, survey, code, or exchange formats."
tag-data-format-identifier-vocab,data_format,identifier_vocab,Identifier vocabulary,"Identifier-backed vocabulary such as AphiaID, LSID, MRGID, Marine-ID, accessions, or DOI."
tag-data-format-instrument-data-product,data_format,instrument_data_product,Instrument data product,Instrument or observing-system product format.
tag-data-format-intercatch-exchange,data_format,intercatch_exchange,InterCatch exchange format,InterCatch fisheries exchange format.
tag-data-format-json,data_format,json,JSON,JSON data output.
tag-data-format-metadata-schema,data_format,metadata_schema,Metadata schema,Structured metadata schema or catalogue metadata model.
tag-data-format-netcdf,data_format,netcdf,NetCDF,Array-oriented scientific data format used by oceanographic systems.
tag-data-format-odis-architecture,data_format,odis_architecture,ODIS architecture,ODIS/Ocean InfoHub architecture conventions and linked ocean information patterns.
tag-data-format-platform-metadata,data_format,platform_metadata,Platform metadata,Observing platform metadata records.
tag-data-format-raster-gridded,data_format,raster_gridded,Raster / gridded layers,"Raster, gridded, model scenario, or mapped analytical products."
tag-data-format-rdbes-exchange,data_format,rdbes_exchange,RDBES exchange format,Regional DataBase and Estimation System exchange documentation/formats.
tag-data-format-rdf-linked-data,data_format,rdf_linked_data,RDF / linked data,RDF or linked-data style records.
tag-data-format-re3data-schema,data_format,re3data_schema,re3data metadata schema,re3data repository registry metadata schema.
tag-data-format-relational-database,data_format,relational_database,Relational database,Relational database backed data model or exports.
tag-data-format-seadatanet-standard,data_format,seadatanet_standard,SeaDataNet standard,"SeaDataNet formats, vocabularies, and controlled terms."
tag-data-format-sequence-standard,data_format,sequence_standard,Sequence archive standard,"INSDC, ENA, SRA, barcode, or sequence archive data standards."
tag-data-format-shapefile-gis,data_format,shapefile_gis,Shapefile / GIS layers,Geospatial vector or GIS layer files.
tag-data-format-statistical-collection,data_format,statistical_collection,Statistical collection,Published statistical collections such as FAO fishery/aquaculture data.
tag-data-format-zarr,data_format,zarr,Zarr,Chunked array data format used for cloud-oriented gridded data.
tag-data-type-abundance,data_type,abundance,Abundance,Abundance measurements or abundance products.
tag-data-type-aquaculture-statistics,data_type,aquaculture_statistics,Aquaculture / production statistics,"Aquaculture, production statistics, statistical yearbooks, or FAO statistical products."
tag-data-type-atmospheric-time-series,data_type,atmospheric_time_series,Atmospheric time series,Atmospheric or ocean-atmosphere time-series data.
tag-data-type-bathymetry-geology-imagery,data_type,bathymetry_geology_imagery,Bathymetry / geology / imagery,"Bathymetry, marine geology, or imagery holdings."
tag-data-type-chemical-biogeochemical,data_type,chemical_biogeochemical,Chemical / biogeochemical,"Oxygen, nutrients, carbon, DIC, alkalinity, pH, tracers, fCO2, or biogeochemical data."
tag-data-type-data-product-visualization,data_type,data_product_visualization,Data product / visualization,"Product catalogue, downloads, visualization, gridded product, or derived display products."
tag-data-type-environmental-layers,data_type,environmental_layers,Environmental layers,"Physical, chemical, biological, topographic, or environmental layers."
tag-data-type-fisheries-catch-effort,data_type,fisheries_catch_effort,Fisheries catch / effort,"Catch, effort, landings, discards, bycatch, CPUE, indicators, or fisheries survey data."
tag-data-type-genomic-sequence,data_type,genomic_sequence,Genomic / sequence,"DNA barcodes, nucleotide sequences, reads, assemblies, amplicons, or metagenomic data."
