system_id,system_name,aliases,canonical_url,operator_name,operator_country,discipline_family,role_class,scope_tier,geographic_scope,marine_relevance,researcher_interaction,data_types,submission_supported,access_supported,api_or_download_modes,formats_or_standards,persistent_identifier_support,parent_system_id,status,confidence,official_source_id,workflow_source_id,notes
system-eurobis,European Ocean Biodiversity Information System,EurOBIS,https://www.eurobis.org/,VLIZ and LifeWatch Belgium,EU,biodiversity,aggregator,regional,European marine waters and European research beyond Europe,core_marine,both,occurrences; eMoF; species distribution data,yes,yes,web; downloads; DOI archiving,Darwin Core; eMoF; WoRMS matching,dataset DOI,system-emodnet-biology,active,0.95,src-eurobis-home,src-eurobis-home,European OBIS node and regional biodiversity publishing service
system-datras,DATRAS,DATRAS,https://www.ices.dk/data/data-portals/Pages/DATRAS.aspx,ICES,international,fisheries,archive,regional,Baltic Sea and North East Atlantic shelf seas,core_marine,both,trawl survey data; CPUE; indices,yes,yes,web; downloads; web services,ICES survey formats; ICES vocabularies,varies,system-ices-data,active,0.96,src-datras,src-datras,ICES trawl survey database with open access products
system-intercatch,InterCatch,InterCatch,https://www.ices.dk/data/data-portals/Pages/InterCatch.aspx,ICES,international,fisheries,assessment_support_system,regional,North East Atlantic,core_marine,indirect,catch; effort; landings; discards; bycatch,yes,yes,web; uploads; downloads,InterCatch exchange format; ICES codes,varies,system-ices-data,active,0.95,src-intercatch,src-intercatch,ICES fisheries catch handling system for stock assessment workflows
system-rdbes,Regional DataBase and Estimation System,RDBES,https://www.ices.dk/data/data-portals/Pages/rdbes.aspx,ICES,international,fisheries,assessment_support_system,regional,European regional fisheries sampling domains,core_marine,indirect,landing data; effort; bycatch; sampling data; statistical estimates,yes,yes,web; uploads; downloads,RDBES exchange documentation; ICES formats,varies,system-ices-data,active,0.95,src-rdbes,src-rdbes,ICES regional fisheries database and estimation system
system-oceansites,OceanSITES,OceanSITES,https://www.oceansites.org/,OceanSITES programme,international,oceanography,observing_network,global,global open ocean reference stations,core_marine,pull_from,physical; biogeochemical; ecosystem; atmospheric time series,indirect,yes,web; downloads,OceanSITES NetCDF; OceanSITES data format,varies,,active,0.92,src-oceansites-format,src-oceansites-format,Global sustained open ocean time series network
system-go-ship,Global Ocean Ship-based Hydrographic Investigations Program,GO-SHIP,https://www.go-ship.org/,International GO-SHIP community,international,oceanography,observing_network,global,global sustained hydrographic sections,core_marine,pull_from,full-depth hydrography; carbon; oxygen; nutrients; biogeochemistry,indirect,yes,web; cruise data downloads,repeat hydrography cruise data,varies,,active,0.94,src-us-goship-about,src-us-goship-about,International repeat hydrography observing programme
system-socat,Surface Ocean CO2 Atlas,SOCAT,https://socat.info/,SOCAT community,international,oceanography,synthesis_activity,global,global oceans and coastal seas,core_marine,both,surface fCO2; calibrated sensor data; gridded products,yes,yes,web; downloads; submissions,IOCCP metadata formats; gridded products,varies,,active,0.96,src-socat-about,src-socat-about,Global community synthesis of surface ocean CO2 observations
system-glodap,Global Ocean Data Analysis Project,GLODAP,https://glodap.info/,GLODAP community,international,oceanography,synthesis_activity,global,global ocean water column,core_marine,both,salinity; oxygen; nutrients; DIC; alkalinity; pH; tracers,yes,yes,web; downloads,quality controlled cruise synthesis files,varies,,active,0.95,src-glodap-about,src-glodap-about,Global synthesis for interior ocean biogeochemical measurements
system-oceanops,OceanOPS,OceanOPS,https://www.ioc.unesco.org/en/joint-centre-oceanographic-marine-meteorological-observing-programme,WMO and IOC UNESCO,international,cross-domain,operations_support_centre,global,global ocean observing platforms,core_marine,indirect,platform metadata; network status; deployment coordination,no,yes,web; dashboards; monitoring services,observing platform metadata,varies,,active,0.93,src-oceanops-ioc,src-oceanops-ioc,Operational support centre for global ocean observing programmes
system-argovis,Argovis,Argovis,https://argovis.colorado.edu/,University of Colorado Boulder and collaborators,USA,oceanography,delivery_portal,global,global ocean and colocated atmosphere ocean contexts,core_marine,pull_from,Argo profiles; ship-based profiles; colocated ocean and atmosphere data,no,yes,web; API; notebooks,API-ready profile and colocated datasets,varies,,active,0.88,src-argovis-about,src-argovis-about,Data access platform for colocated ocean profile workflows
