link_id,source_system_id,target_system_id,relation_type,direction_note,mechanism
link-obis-worms,system-obis,system-worms,uses_reference_from,OBIS attaches taxonomic information from WoRMS into datasets,scientificNameID and WoRMS LSID lookup
link-emodnet-biology-worms,system-emodnet-biology,system-worms,uses_reference_from,EMODnet Biology references scientificNameID against WoRMS for accepted taxonomy,scientificNameID lookup and taxonomy enrichment
link-emodnet-biology-marine-regions,system-emodnet-biology,system-marine-regions,uses_reference_from,EMODnet Biology lists Marine Regions among the standards and vocabularies it implements,shared geographic vocabularies and interoperability
link-emodnet-biology-seadatanet-cdi,system-emodnet-biology,system-seadatanet-cdi,pulls_from,EMODnet Biology periodically harvests biodiversity datasets from CDI,CDI API periodic harvesting
link-sealifebase-aquamaps,system-sealifebase,system-aquamaps,pulls_from,SeaLifeBase maps are provided using AquaMaps,AquaMaps embedded maps
link-aquamaps-obis,system-aquamaps,system-obis,pulls_from,AquaMaps uses occurrence records from OBIS as part of its modelling inputs,occurrence records for species distribution models
link-aquamaps-gbif,system-aquamaps,system-gbif,pulls_from,AquaMaps uses occurrence records from GBIF as part of its modelling inputs,occurrence records for species distribution models
link-mgnify-ena,system-mgnify,system-ena,pulls_from,MGnify analyses user-submitted and public datasets archived at ENA,ENA archival submission followed by MGnify analysis
link-bcodmo-ncei,system-bco-dmo,system-noaa-ncei-marine,syncs_to,BCO-DMO sends finalized published data packages for long-term curation to NCEI,preservation copies for long-term curation
link-ena-genbank,system-ena,system-genbank,federates_with,ENA exchanges data with other INSDC members,INSDC member data exchange
link-ddbj-genbank,system-ddbj,system-genbank,federates_with,DDBJ exchanges data with other INSDC members,INSDC member data exchange
link-ddbj-ena,system-ddbj,system-ena,federates_with,DDBJ exchanges data with other INSDC members,INSDC member data exchange
link-cmems-argo,system-cmems-datastore,system-argo-gdac,pulls_from,Copernicus Marine distributes Argo data products through the Data Store,Argo data products available in Copernicus Marine catalogues
