system_id,system_name,aliases,canonical_url,operator_name,operator_country,discipline_family,role_class,scope_tier,geographic_scope,marine_relevance,researcher_interaction,data_types,submission_supported,access_supported,api_or_download_modes,formats_or_standards,persistent_identifier_support,parent_system_id,official_source_id,workflow_source_id,notes
system-obis,Ocean Biodiversity Information System,OBIS,https://obis.org/about/,IOC-UNESCO IODE,international,biodiversity,aggregator,global,global ocean,core_marine,both,occurrences; sampling events; traits,yes,yes,web; API; downloads; node publishing,Darwin Core; DwC-A; EML,occurrenceID; scientificNameID,,src-obis-about,src-obis-ipt,Global marine biodiversity platform with node-based publishing
system-gbif,Global Biodiversity Information Facility,GBIF,https://www.gbif.org/what-is-gbif,GBIF Secretariat,international,biodiversity,aggregator,global,global,adjacent_support,both,occurrences; specimens; observations; DNA barcodes,yes,yes,web; API; downloads; IPT,Darwin Core; DwC-A,occurrence IDs; taxon IDs,,src-gbif-what-is,src-gbif-what-is,Global biodiversity infrastructure heavily used in marine workflows
system-emodnet,European Marine Observation and Data Network,EMODnet,https://emodnet.ec.europa.eu/en/about_emodnet,European Commission and thematic consortia,EU,cross-domain,registry_federation,regional,European seas,core_marine,pull_from,marine observations; products; thematic services,no,yes,web; viewer; APIs vary,theme-specific standards,varies,,src-emodnet-about,src-emodnet-about,European umbrella marine data network
system-emodnet-biology,EMODnet Biology,,https://emodnet.ec.europa.eu/en/biology-0,EMODnet Biology consortium,EU,biodiversity,aggregator,regional,European regional seas,core_marine,both,occurrences; abundance; traits; products,yes,yes,web; WFS; downloads,Darwin Core; SeaDataNet vocabularies; NetCDF,scientificNameID,system-emodnet,src-emodnet-biology,src-seadatanet-cdi,European marine biodiversity access point built on EurOBIS-style infrastructure
system-worms,World Register of Marine Species,WoRMS,https://www.marinespecies.org/about.php,Flanders Marine Institute,international,reference,reference_backbone,global,global marine taxa,core_marine,pull_from,taxonomy; nomenclature; traits; distributions,no,yes,web; REST API,Aphia; LSID; taxonomic vocabularies,AphiaID; LSID,,src-worms-about,src-worms-about,Authoritative marine taxonomic backbone
system-marine-regions,Marine Regions,,https://www.marineregions.org/about.php,Flanders Marine Institute,international,reference,reference_backbone,global,global marine geographies,core_marine,pull_from,marine place names; boundaries; gazetteer,no,yes,web; downloads; gazetteer services,gazetteer and GIS layers,MRGID,,src-marine-regions-about,src-marine-regions-about,Marine geography and boundary backbone
system-fishbase,FishBase,,https://fishbase.se/fishonline/english/FOL_Introduction.htm,FishBase Consortium,international,fisheries,reference_backbone,global,global fishes,core_marine,pull_from,species accounts; ecology; fisheries traits,no,yes,web; downloads vary,relational database; linked species data,species records,,src-fishbase-intro,src-fishbase-intro,Global fish species information system
system-sealifebase,SeaLifeBase,,https://www.sealifebase.se/home/who_we_are.php,Sea Around Us and Q-quatics,international,biodiversity,reference_backbone,global,global marine non-fish taxa,core_marine,pull_from,species accounts; ecology; distributions,no,yes,web,linked biodiversity sources,species records,,src-sealifebase-who,src-sealifebase-what,Marine non-fish counterpart to FishBase
system-aquamaps,AquaMaps,,https://aquamaps.org/main/AboutAquaMaps.php,AquaMaps collaboration,international,biodiversity,derived_analysis_platform,global,global aquatic species,core_marine,pull_from,predicted species distributions,no,yes,web; downloads,environmental envelope modelling,species map outputs,,src-aquamaps-about,src-aquamaps-about,Global species range mapping system
system-ggbn,Global Genome Biodiversity Network,GGBN,https://www.ggbn.org/ggbn_portal/site/wf?p=What_is_GGBN,GGBN consortium,international,genetics,registry_federation,global,global,mixed_domain,both,sample collections; DNA and tissue metadata,yes,yes,web; portal; API varies,Darwin Core extensions; sample metadata,collection and sample identifiers,,src-ggbn-about,src-ggbn-about,Biodiversity genomics sample network relevant to marine collections
system-insdc,International Nucleotide Sequence Database Collaboration,INSDC,https://www.insdc.org/about-insdc/,INSDC members,international,genetics,archive,global,global,mixed_domain,indirect,reads; sequences; assemblies; samples; projects,yes,yes,member portals; APIs; downloads,INSDC standards; flat files; SRA metadata,accession numbers,,src-insdc-about,src-insdc-about,Global umbrella for open nucleotide sequence archives
system-genbank,GenBank,,https://www.ncbi.nlm.nih.gov/genbank/,NCBI United States,USA,genetics,archive,global,global,mixed_domain,both,nucleotide sequences; reads; assemblies; metadata,yes,yes,web; API; FTP,INSDC standards; FASTA; GenBank flat file,accession numbers,system-insdc,src-genbank-overview,src-insdc-about,Major open sequence archive and INSDC member
